track_name,track_artist,track_album_release_date,playlist_genre
Eternamente Bella,Alejandra Guzman,1990,latin
I Can't Wait Another Minute,Hi-Five,1990,r&b
Unconditional Love,Hi-Five,1990,r&b
Hard To Handle,The Black Crowes,1990,rock
Enjoy the Silence - Single Mix,Depeche Mode,1990,rock
Unskinny Bop,Poison,1990,rock
Merry Go Round,Keith Sweat,1990,r&b
Tiempo De Vals,Chayanne,1990,latin
Fairweather Friend,Johnny Gill,1990,r&b
Rub You The Right Way,Johnny Gill,1990,r&b
Make You Sweat,Keith Sweat,1990,r&b
Completamente Enamorados,Chayanne,1990,latin
She's Playing Hard To Get,Hi-Five,1990,r&b
Qué Hay de Malo,Jerry Rivera,1990,latin
Knockin' Boots,Candyman,1990,rap
The Humpty Dance,Digital Underground,1990,r&b
I Promised Myself,Nick Kamen,1990,pop
Quality Time,Hi-Five,1990,r&b
High Enough,Damn Yankees,1990,rock
What I Like About You,The Romantics,1990,rock
I'll Give All My Love to You,Keith Sweat,1990,r&b
Beside You,Karyn White,1991,r&b
Two Princes,Spin Doctors,1991,rock
Playground,Another Bad Creation,1991,r&b
Tell Me What You Want Me to Do,Tevin Campbell,1991,r&b
Confused,Tevin Campbell,1991,r&b
Get Up Offa That Thing,James Brown,1991,r&b
Hold You Tight,Tara Kemp,1991,r&b
Iesha,Another Bad Creation,1991,r&b
Romantic,Karyn White,1991,r&b
Alone with You,Tevin Campbell,1991,r&b
Diary Of A Madman,Scarface,1991,rap
Don't Remind Me,Damian Dame,1991,r&b
Born and Raised In Compton,DJ Quik,1991,rap
Tonite,DJ Quik,1991,rap
How I Want You,Karyn White,1991,r&b
Strawberry Letter 23,Tevin Campbell,1991,r&b
To Be with You - 2010 Remastered Version,Mr. Big,1991,rock
Rica y Apretadita (feat. Anayka),El General,1991,latin
Right Down to It,Damian Dame,1991,r&b
Try Me,James Brown,1991,r&b
New Jack Hustler (Nino's Theme),Ice-T,1991,rap
Yellow Ledbetter,Pearl Jam,1991,rock
Metalhammer,And One,1991,pop
Why Me Baby?,Keith Sweat,1991,r&b
Mr. Scarface,Scarface,1991,rap
"Now That We Found Love - 7"" Radio",Heavy D & The Boyz,1991,r&b
Love Me To The End,Deine Lakaien,1991,pop
Quik's Groove,DJ Quik,1991,rap
She's All That,Tevin Campbell,1991,r&b
Whack It On Me,Damian Dame,1991,r&b
Money And The Power,Scarface,1991,rap
Alive,Pearl Jam,1991,rock
Keep It Comin',Keith Sweat,1991,r&b
Rhythm Is A Dancer - 12'' Version,SNAP!,1991,pop
Good Vibrations,Marky Mark And The Funky Bunch,1991,r&b
The Way I Feel About You,Karyn White,1991,r&b
My Heart Is Failing Me,Riff,1991,r&b
"It's A Man's, Man's, Man's World",James Brown,1991,r&b
Jus Lyke Compton,DJ Quik,1991,rap
Gotta Learn My Rhythm,Damian Dame,1991,r&b
Round and Round - Soul Mix Edit,Tevin Campbell,1991,r&b
Ill Street Blues (Illest Version),Kool G Rap & DJ Polo,1992,rap
Life Is A Highway,Tom Cochrane,1992,rock
"I Had a Dream, Joe - 2010 Remastered Version",Nick Cave & The Bad Seeds,1992,rock
We Are The Champions,Queen,1992,rock
GAMES,Chuckii Booker,1992,r&b
Jus Lyke Compton,DJ Quik,1992,rap
Happy Days,Silk,1992,r&b
Baby It's You,Silk,1992,r&b
Live and Learn,Joe Public,1992,r&b
Killing In The Name,Rage Against The Machine,1992,rock
Freak Me,Silk,1992,r&b
Anarchy In The UK,Sex Pistols,1992,rock
If You Need Me,Wilson Pickett,1992,r&b
Do You Everynite,Joe Public,1992,r&b
Down 4 Whateva,Nuttin' Nyce,1993,r&b
Hoy - Spanish Version,Gloria Estefan,1993,latin
The Sign,Ace of Base,1993,pop
Gin And Juice (feat. Dat Nigga Daz),Snoop Dogg,1993,rap
Tha Shiznit,Snoop Dogg,1993,rap
Gz And Hustlas (feat. Nancy Fletcher),Snoop Dogg,1993,rap
What Is Love,Haddaway,1993,pop
Laid,James,1993,rock
Murder Was The Case (Death After Visualizing Eternity) (feat. Dat Nigga Daz),Snoop Dogg,1993,rap
The Right Kind of Love,Jeremy Jordan,1993,r&b
The Wall,Scarface,1993,rap
Bump n' Grind,R. Kelly,1993,r&b
"Serial Killa (feat. The D.O.C., Tha Dogg Pound & RBX)",Snoop Dogg,1993,rap
Summer Bunnies,R. Kelly,1993,r&b
"Captain Save a Hoe (feat. The Click, D-Shot, B-Legit & Suga T)",E-40,1993,rap
Suave,Luis Miguel,1993,latin
I Got Cha Opin,Black Moon,1993,rap
Today - Remastered,The Smashing Pumpkins,1993,rock
You Look Like Rain,Morphine,1993,rock
Who Am I (What's My Name)?,Snoop Dogg,1993,rap
Low,Cracker,1993,rock
Mirala Miralo,Alejandra Guzman,1993,latin
Proud Mary,Tina Turner,1993,r&b
Your Body's Callin',R. Kelly,1993,r&b
Who Got Da Props,Black Moon,1993,rap
How Many MC's...,Black Moon,1993,rap
Lodi Dodi (feat. Nancy Fletcher),Snoop Dogg,1993,rap
Now I Feel Ya,Scarface,1993,rap
Doggy Dogg World (feat. The Dramatics & Tha Dogg Pound),Snoop Dogg,1993,rap
Call Me,Deee-Lite,1994,pop
Somethin Serious,Big Mike,1994,rap
Best Friend,Brandy,1994,r&b
Grace,Jeff Buckley,1994,rock
Baby,Brandy,1994,r&b
Miedo,Caifanes,1994,rock
Hand of the Dead Body,Scarface,1994,rap
Try Me Out,Corona,1994,pop
"Hold Me, Thrill Me, Kiss Me",Gloria Estefan,1994,latin
Where I Wanna Be Boy,Miss Jones,1994,r&b
Afuera,Caifanes,1994,rock
Hallelujah,Jeff Buckley,1994,rock
Brokenhearted,Brandy,1994,r&b
I Gotta Clean Up,Marvin Sease,1994,rap
Never Alone,2 Brothers On The 4th Floor,1994,pop
Dreams (Will Come Alive),2 Brothers On The 4th Floor,1994,pop
Foe Tha Love Of $,Bone Thugs-N-Harmony,1994,rap
"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",Craig Mack,1994,rap
Represent,Nas,1994,rap
Baby Baby,Corona,1994,pop
Last Goodbye,Jeff Buckley,1994,rock
Always on My Mind,Brandy,1994,r&b
The World Is Yours,Nas,1994,rap
High Sidin',N2DEEP,1994,rap
Ayer Me Dijo un Ave,Caifanes,1994,rock
"The More You Ignore Me, the Closer I Get - 2014 Remaster",Morrissey,1994,rock
No More (I Can't Stand It),Maxx,1994,pop
No Tears,Scarface,1994,rap
I Seen a Man Die,Scarface,1994,rap
I Wanna Be Down,Brandy,1994,r&b
Thuggish Ruggish Bone,Bone Thugs-N-Harmony,1994,rap
A Girl Like You,Edwyn Collins,1994,rap
Aviéntame,Caifanes,1994,rock
Get A Way,Maxx,1994,pop
Havin Thangs,Big Mike,1994,rap
Quisiera Ser Alcohol,Caifanes,1994,rock
Experiencia Religiosa,Enrique Iglesias,1995,latin
When Something Is Wrong With My Baby,Sam & Dave,1995,r&b
You Used to Love Me,Faith Evans,1995,r&b
Ironic - 2015 Remaster,Alanis Morissette,1995,pop
Only Happy When It Rains,Garbage,1995,rock
Criminology,Raekwon,1995,rap
Fallin' in Love,Faith Evans,1995,r&b
Brooklyn Zoo,Ol' Dirty Bastard,1995,rap
Heaven & Hell,Raekwon,1995,rap
Shimmy Shimmy Ya,Ol' Dirty Bastard,1995,rap
Sound Bwoy Bureill,Smif-N-Wessun,1995,rap
Stupid Girl,Garbage,1995,rock
"New York, New York",Tha Dogg Pound,1995,rap
Let's Play House,Tha Dogg Pound,1995,rap
Candy Rain,Soul For Real,1995,r&b
Someone to Love,Jon B.,1995,r&b
Concrete Hell,5th Ward Boyz,1995,rap
Bring It All to Me - Single Version,Blaque,1995,r&b
Let It Out,Tha Alkaholiks,1995,rap
Bucktown,Smif-N-Wessun,1995,rap
1979 - Remastered 2012,The Smashing Pumpkins,1995,rock
Every Little Thing I Do,Soul For Real,1995,r&b
La Tierra del Olvido,Carlos Vives,1995,latin
Damage,Ol' Dirty Bastard,1995,rap
"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)",Raekwon,1995,rap
Soon as I Get Home,Faith Evans,1995,r&b
Freak Like Me,Adina Howard,1995,r&b
Soy 18 With a Bullet,Spanish Fly,1995,latin
Pa' Mayté,Carlos Vives,1995,latin
Coconut,Harry Nilsson,1995,rock
You're Makin' Me High,Toni Braxton,1996,r&b
Just Got Paid,Johnny Kemp,1996,r&b
One in a Million,Aaliyah,1996,r&b
X,Xzibit,1996,rap
I Can't Live Without You,Angelique,1996,latin
Just a Touch,Keith Sweat,1996,r&b
Got to Have Your Love,Mantronix,1996,r&b
"Bout It, Bout It II",Master P,1996,rap
Fish (feat. Raekwon & Cappadonna),Ghostface Killah,1996,rap
I Give You My Heart,Mr. President,1996,pop
Freak with Me,Keith Sweat,1996,r&b
O Come All Ye Faithful,Kirk Franklin,1996,r&b
For You,Kenny Lattimore,1996,r&b
Pimp Tha Pen,DJ Screw,1996,rap
Ready or Not,Fugees,1996,rap
Nobody (feat. Athena Cage),Keith Sweat,1996,r&b
I Can't Live Without You,Angelique,1996,latin
Vapors,Snoop Dogg,1996,rap
Po Pimp,Do Or Die,1996,rap
Twisted,Keith Sweat,1996,r&b
Cum on Feel the Noize,Quiet Riot,1996,rock
Easy Livin',Uriah Heep,1996,rock
Coco Jamboo - Radio Version,Mr. President,1996,pop
Got to Give It Up,Aaliyah,1996,r&b
Mr. Ice Cream Man,Master P,1996,rap
Barely Breathing,Duncan Sheik,1996,rock
Bailando - Video Edit,Paradisio,1996,pop
Sailin Da South,DJ Screw,1996,rap
You Make Me Feel Like Dancing - Remastered,Leo Sayer,1996,r&b
How Many Mics,Fugees,1996,rap
Blinded By The Light,Manfred Mann's Earth Band,1996,rock
Every Little Thing U Do,Christopher Williams,1996,r&b
I'll Be All You'll Ever Need,Trinere,1997,latin
Make 'Em Say Ugh,Master P,1997,rap
Mary Jane,Scarface,1997,rap
Can't Nobody Hold Me Down (feat. Mase),Diddy,1997,rap
Firestarter,The Prodigy,1997,rock
Handle the Vibe,Bone Thugs-N-Harmony,1997,rap
Been Around the World (feat. The Notorious B.I.G. & Mase),Diddy,1997,rap
"Comprendes, Mendes?",Control Machete,1997,rap
Victory (feat. The Notorious B.I.G. & Busta Rhymes),Diddy,1997,rap
"After Dollars, No Cents",Master P,1997,rap
Lookin' at Me (feat. Puff Daddy),Mase,1997,rap
On & On,Erykah Badu,1997,r&b
Tiburon,Proyecto Uno,1997,latin
"It's All About the Benjamins (feat. The Notorious B.I.G., Lil' Kim & The Lox) - Remix",Diddy,1997,rap
Harana,Parokya Ni Edgar,1997,rock
Asi Son Mis Dias,Control Machete,1997,rap
Into My Arms - 2011 Remastered Version,Nick Cave & The Bad Seeds,1997,rock
There She Goes,Sixpence None The Richer,1997,rock
Pass Me Da Green,Master P,1997,rap
I Miss My Homies,Master P,1997,rap
I'll Be,Edwin McCain,1997,rock
Smartz,Scarface,1997,rap
Breathe,The Prodigy,1997,rock
They're Playing Our Song,Trinere,1997,latin
Control Machete,Control Machete,1997,rap
Stop Hatin,Master P,1997,rap
Southside,Scarface,1997,rap
Dammit,blink-182,1997,rock
Return of the Mack - C&J Extended Mix,Mark Morrison,1997,r&b
Feel so Good,Mase,1997,rap
"Initiated (feat. 2Pac a.k.a. Makaveli, Outlawz & Kurupt Tha Kingpin)",Daz Dillinger,1998,rap
Gimme Three Steps,Lynyrd Skynyrd,1998,rock
Can't Get Enough! - Vocal Club Mix,Soulsearcher,1998,edm
Youth Gone Wild,Skid Row,1998,rock
Anywhere,112,1998,r&b
18 and Life,Skid Row,1998,rock
Simple Man,Lynyrd Skynyrd,1998,rock
Heads High (Kill 'Em With It Re-Mix),Mr. Vegas,1998,latin
Believe,Cher,1998,pop
"Boom, Boom, Boom, Boom!!",Vengaboys,1998,pop
Knockin' Da' Boots,H-Town,1998,r&b
Homies & Thuggs,Scarface,1998,rap
Diamond & Gold,Lil' Troy,1998,rap
Small Time,Lil' Troy,1998,rap
In My Blood,Scarface,1998,rap
So Into You,Tamia,1998,r&b
Magic Man,Heart,1998,rock
One in a Million,The Romantics,1998,rock
Falling for You,Tamia,1998,r&b
Inside Out,Eve 6,1998,rock
She's The One,Robbie Williams,1998,rock
Love Me (feat. Mase),112,1998,r&b
Show Me Love,Tamia,1998,r&b
Baller In The Mix,Lil Keke,1998,rap
"In California (feat. Lady ""V"")",Daz Dillinger,1998,rap
25 Lighters,DJ DMD,1998,rap
Never Gonna Let You Go,Tamia,1998,r&b
C'est La Vie,Robbie Nevil,1998,rock
Never Leave Me Alone,Nate Dogg,1998,rap
Wanna Be A Baller,Lil' Troy,1998,rap
Crazy On You,Heart,1998,rock
Greed,Scarface,1998,rap
Todo a Pulmon,Miguel Rios,1998,rock
We like to Party! (Six Flags),Vengaboys,1998,pop
Love Like This,Faith Evans,1998,r&b
Only You (feat. Notorious B.I.G. and Mase) - Greatest Hits Version,112,1998,rap
2 Real,Scarface,1998,rap
Sweet Home Alabama,Lynyrd Skynyrd,1998,rock
Last Kiss,Pearl Jam,1999,rock
Genie In a Bottle,Christina Aguilera,1999,pop
Ileso,Control Machete,1999,rap
85/Billy Dee Interlude,Youngbloodz,1999,rap
I'm Real - Murder Remix,Jennifer Lopez,1999,r&b
Ain't It Funny - Murder Remix,Jennifer Lopez,1999,r&b
Ain't It Funny - Murder Remix,Jennifer Lopez,1999,r&b
These Eyes - Remastered,The Guess Who,1999,rock
Sandstorm - Radio Edit,Darude,1999,edm
It's Your Thing,The Isley Brothers,1999,rock
Every Morning,Sugar Ray,1999,rock
Smooth (feat. Rob Thomas),Santana,1999,rock
I'm Gonna Be Alright,Jennifer Lopez,1999,r&b
The Bad Touch,Bloodhound Gang,1999,pop
Get A Move On!,Mr. Scruff,1999,edm
La Rosa De Los Vientos,Makiza,1999,latin
Presente,Control Machete,1999,rap
I Want You To Want Me - Soundtrack,Letters To Cleo,1999,rock
Thank You,Dido,1999,rock
Pardon Me - Acoustic,Incubus,1999,latin
Drive - Orchestral Live Version,Incubus,1999,latin
Break Stuff,Limp Bizkit,1999,rock
Esperanza,Control Machete,1999,rap
Infinite Possibilities,Amel Larrieux,1999,r&b
Grita,Control Machete,1999,rap
Sunburn,Muse,1999,rock
Unintended,Muse,1999,rock
Halaga,Parokya Ni Edgar,1999,rock
Got Your Money (feat. Kelis),Ol' Dirty Bastard,1999,rap
Better Off Alone - Hitradio Mix,Alice Deejay,1999,pop
I'm Real - Murder Remix,Jennifer Lopez,1999,r&b
Poison,Bell Biv DeVoe,2000,r&b
Fly Away,Lenny Kravitz,2000,rock
Lay Low,Snoop Dogg,2000,r&b
Rock Candy - Remastered LP Verison,Montrose,2000,rock
Do Me!,Bell Biv DeVoe,2000,r&b
Loser,3 Doors Down,2000,rock
Without You,Lucy Pearl,2000,r&b
One,Fates Warning,2000,rock
Dance Tonight,Lucy Pearl,2000,r&b
American Woman,Lenny Kravitz,2000,rock
City Of Syrup,Big Moe,2000,rap
Mr. Telephone Man,New Edition,2000,r&b
Everyday,Lucy Pearl,2000,r&b
Bad Motor Scooter - Remastered LP Verison,Montrose,2000,rock
Together Forever,Lisette Melendez,2000,latin
Up & Down,Vengaboys,2000,pop
Don't Mess With My Man,Lucy Pearl,2000,r&b
I'm Running,Mary Mary,2000,r&b
Space Station #5 - Remastered,Montrose,2000,rock
Mentirosa,Rafaga,2000,latin
Rie y Llora,Celia Cruz,2000,r&b
Let Me Hold You,Bow Wow,2000,r&b
Sunday Morning,Mary Mary,2000,r&b
Dance Tonight,Lucy Pearl,2000,r&b
I'll Go,Donell Jones,2000,r&b
By My Side,3 Doors Down,2000,rock
Hate To Say I Told You So,The Hives,2000,rock
Kryptonite,3 Doors Down,2000,rock
Hate To Say I Told You So,The Hives,2000,rock
Do It,Rasheeda,2000,rap
He Wasn't Man Enough,Toni Braxton,2000,r&b
Rock the Nation - Remastered,Montrose,2000,rock
Shackles (Praise You),Mary Mary,2000,r&b
Raise Up,Petey Pablo,2001,rap
Get the Party Started,P!nk,2001,pop
Adrienne,The Calling,2001,rock
I Must Be High,South Park Mexican,2001,rap
Hear You Me,Jimmy Eat World,2001,rock
Hey Lady,Central Coast Clique,2001,latin
Kleid Aus Rosen,Subway To Sally,2001,pop
Me Liberé,El Gran Combo De Puerto Rico,2001,latin
Pop Ya Collar,Usher,2001,r&b
Gravel Pit,Wu-Tang Clan,2001,rap
Afro Puffs,The Lady Of Rage,2001,rap
The Middle - Acoustic Version,Jimmy Eat World,2001,latin
Rock The Boat,Aaliyah,2001,r&b
Seelenschmerz,Blutengel,2001,pop
Peaches and Cream,112,2001,r&b
Stay,Eternal,2001,r&b
Don't Hate Me (feat. Twista),112,2001,r&b
Bodies,Drowning Pool,2001,rock
The Middle,Jimmy Eat World,2001,latin
Torete,Moonstar88,2001,rock
Ace Of Spades,Motörhead,2001,rock
Anything,SWV,2001,r&b
7 Days,Craig David,2001,r&b
Little Drummer Boy (feat. Solange),Destiny's Child,2001,r&b
Ghetto Dreams,Fat Pat,2001,rap
Bleed American,Jimmy Eat World,2001,rock
Tops Drop,Fat Pat,2001,rap
Lifetime - Uncut,Maxwell,2001,r&b
Part Time Lover,H-Town,2001,r&b
The Middle,Jimmy Eat World,2001,rock
No More Mr. Nice Guy - Remastered Version,Alice Cooper,2001,rock
Runnin',The Pharcyde,2001,r&b
Feeling Good,Muse,2001,rock
Wherever You Will Go,The Calling,2001,rock
Sweet Child O' Mine,Guns N' Roses,2001,rock
Old Time's Sake,Sweet Sable,2001,r&b
Can We Talk,Tevin Campbell,2001,r&b
Round and Round - Soul Mix Edit,Tevin Campbell,2001,r&b
I Love You,Faith Evans,2001,r&b
Wanna Be A Balla,Fat Pat,2001,rap
214,Rivermaya,2001,rock
Gin and Juice,The Gourds,2001,r&b
Clint Eastwood,Gorillaz,2001,rock
N Luv Wit My Money,Paul Wall,2002,rap
ATL Hoe,Baby D.,2002,rap
Tu Pirata Soy Yo,Chayanne,2002,latin
Eastside Vs. Westside,Baby D.,2002,rap
The Red,Chevelle,2002,rock
Nowhere To Run,Martha Reeves & The Vandellas,2002,rock
Someone To Love You,Ruff Endz,2002,r&b
Feel,Robbie Williams,2002,rock
Like a Stone,Audioslave,2002,rock
Superstition - Single Version,Stevie Wonder,2002,rap
Walk This Way,Hayseed Dixie,2002,r&b
Taxi,J. Blackfoot,2002,rap
Rocksteady,Remy Shand,2002,r&b
She Will Be Loved - Radio Mix,Maroon 5,2002,pop
Do Me!,Bell Biv DeVoe,2002,r&b
Carry on Wayward Son,Kansas,2002,rock
Heard a Word,Michelle Williams,2002,r&b
Try Again,Aaliyah,2002,r&b
Send the Pain Below,Chevelle,2002,rock
This Love,Maroon 5,2002,pop
At This Moment,Billy Vera & The Beaters,2002,rock
Obstacle 1,Interpol,2002,rock
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,Jennifer Lopez,2002,pop
Dark Beat - Original Murk Mix Radio Edit,Oscar G & Ralph Falcon,2002,edm
Te Suelto el Pelo,Yandel,2003,latin
Don't Break My Heart,Safire,2003,latin
Rest In Peace,Brownside,2003,latin
